runId,arm,rendererIntent,instrumented,red,durationMs,reportedWorkers,maxActiveTests,failureCount,rendererVerified,chromiumRenderer,firefoxRenderer,combinations,signatures,traceCount,videoCount,screenshotCount
"passive-i1","passive-observed","swiftshader","true","true","211873","22","22","4","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;chromium:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-response-completion-unrecorded;D-controls-enabled-at-first-observation;B-pause-rotation-click-actionability-hang","4","4","1"
"passive-i2","passive-observed","swiftshader","true","true","206709","22","22","3","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;chromium:smoke.spec.ts:78","C-second-navigation-load-stall-response-completion-unrecorded;D-controls-enabled-at-first-observation;B-reset-click-actionability-hang","3","3","1"
"passive-i3","passive-observed","swiftshader","true","true","197569","22","22","7","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:195;chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;chromium:smoke.spec.ts:78;firefox:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-after-complete-response;D-controls-enabled-at-first-observation;B-pause-rotation-click-actionability-hang;F-ui-visibility-or-unresolved","7","7","2"
"passive-i4","passive-observed","swiftshader","true","true","222474","22","22","5","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:195;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;chromium:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-response-completion-unrecorded;D-controls-enabled-at-first-observation;B-reset-click-actionability-hang","5","5","1"
"passive-i5","passive-observed","swiftshader","true","true","207448","22","22","4","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-response-completion-unrecorded;D-controls-enabled-at-first-observation","4","4","0"
"passive-lite-i1","passive-lite-observed","swiftshader","true","true","219538","22","22","7","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:195;chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;firefox:matrix.spec.ts:314;chromium:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;A-unresolved-test-timeout;C-second-navigation-load-stall-after-complete-response;D-controls-enabled-at-first-observation;E1-camera-motion-zero-or-unresolved;B-reset-click-actionability-hang","7","7","2"
"passive-lite-i2","passive-lite-observed","swiftshader","true","true","210397","22","22","6","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;firefox:matrix.spec.ts:225;chromium:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-response-completion-unrecorded;D-controls-enabled-at-first-observation;E2-camera-settle-or-unresolved;B-resume-rotation-click-actionability-hang","6","6","2"
"passive-lite-i3","passive-lite-observed","swiftshader","true","true","216269","22","22","6","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:195;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;chromium:smoke.spec.ts:78;firefox:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-response-completion-unrecorded;D-graph-handle-unavailable;B-resume-rotation-click-actionability-hang;F-ui-visibility-or-unresolved","6","6","1"
"passive-lite-i4","passive-lite-observed","swiftshader","true","true","199570","22","22","6","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:135;chromium:matrix.spec.ts:195;chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;chromium:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-after-complete-response;D-controls-enabled-at-first-observation;B-resume-rotation-click-actionability-hang","6","6","1"
"passive-lite-i5","passive-lite-observed","swiftshader","true","true","205492","22","22","7","true","ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)","D3D12 (NVIDIA GeForce RTX 3080)","chromium:matrix.spec.ts:195;chromium:matrix.spec.ts:225;chromium:matrix.spec.ts:572;firefox:matrix.spec.ts:135;firefox:matrix.spec.ts:225;firefox:matrix.spec.ts:314;chromium:smoke.spec.ts:78","A-camera-distance-unchanged-after-wheel;A-camera-distance-unchanged-after-wheel;C-second-navigation-load-stall-after-complete-response;D-controls-enabled-at-first-observation;E2-camera-settle-or-unresolved;E1-camera-motion-zero-or-unresolved;B-resume-rotation-click-actionability-hang","7","7","3"
